Image Size,Features,C,Fold,Train Accuracy,Validation Accuracy,Balanced Accuracy,Body Recall,Face Recall,Actual Margin,Violation Proportion
"(64, 64)",4096,0.01,1,1.0,0.5555555555555556,0.5324675324675324,0.42857142857142855,0.6363636363636364,8.153170318797338,0.028985507246376812
"(64, 64)",4096,0.01,2,1.0,0.7777777777777778,0.7662337662337663,0.7142857142857143,0.8181818181818182,7.4879241742163005,0.028985507246376812
"(64, 64)",4096,0.01,3,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,8.817392496410267,0.014285714285714285
"(64, 64)",4096,0.01,4,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,8.637504306926669,0.02857142857142857
"(64, 64)",4096,0.01,5,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,7.866792761268338,0.02857142857142857
"(64, 64)",4096,0.01,6,1.0,0.7222222222222222,0.7207792207792207,0.7142857142857143,0.7272727272727273,8.203646784782725,0.028985507246376812
"(64, 64)",4096,0.01,7,1.0,0.5555555555555556,0.5844155844155844,0.7142857142857143,0.45454545454545453,8.61818060658682,0.014492753623188406
"(64, 64)",4096,0.01,8,1.0,0.5882352941176471,0.6071428571428572,0.7142857142857143,0.5,8.048011557366502,0.014285714285714285
"(64, 64)",4096,0.01,9,1.0,0.47058823529411764,0.4214285714285714,0.14285714285714285,0.7,8.80949701086124,0.014285714285714285
"(64, 64)",4096,0.01,10,1.0,0.5882352941176471,0.5428571428571429,0.2857142857142857,0.8,7.773007030274759,0.014285714285714285
"(64, 64)",4096,0.01,11,1.0,0.5,0.43506493506493504,0.14285714285714285,0.7272727272727273,8.508179632654072,0.014492753623188406
"(64, 64)",4096,0.01,12,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,7.758838425737579,0.014492753623188406
"(64, 64)",4096,0.01,13,1.0,0.5882352941176471,0.5857142857142856,0.5714285714285714,0.6,8.197256857146733,0.02857142857142857
"(64, 64)",4096,0.01,14,1.0,0.5294117647058824,0.5357142857142857,0.5714285714285714,0.5,8.00476005632359,0.014285714285714285
"(64, 64)",4096,0.01,15,1.0,0.4117647058823529,0.39285714285714285,0.2857142857142857,0.5,8.702502761677037,0.014285714285714285
"(64, 64)",4096,0.01,16,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,7.905599045887125,0.014492753623188406
"(64, 64)",4096,0.01,17,1.0,0.5,0.487012987012987,0.42857142857142855,0.5454545454545454,7.9105409189088,0.057971014492753624
"(64, 64)",4096,0.01,18,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,8.397484291076653,0.07142857142857142
"(64, 64)",4096,0.01,19,1.0,0.47058823529411764,0.4857142857142857,0.5714285714285714,0.4,8.688637938555344,0.02857142857142857
"(64, 64)",4096,0.01,20,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,8.289624692687955,0.04285714285714286
"(64, 64)",4096,0.01,21,1.0,0.6111111111111112,0.6558441558441558,0.8571428571428571,0.45454545454545453,8.312996879858739,0.057971014492753624
"(64, 64)",4096,0.01,22,1.0,0.6111111111111112,0.6038961038961039,0.5714285714285714,0.6363636363636364,8.405931883159925,0.028985507246376812
"(64, 64)",4096,0.01,23,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,7.854661348097846,0.014285714285714285
"(64, 64)",4096,0.01,24,1.0,0.7058823529411765,0.6642857142857143,0.42857142857142855,0.9,7.8424427871423,0.05714285714285714
"(64, 64)",4096,0.01,25,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,8.345511407707052,0.02857142857142857
"(64, 64)",4096,0.1,1,1.0,0.5555555555555556,0.5324675324675324,0.42857142857142855,0.6363636363636364,8.132596717680856,0.014492753623188406
"(64, 64)",4096,0.1,2,1.0,0.7777777777777778,0.7662337662337663,0.7142857142857143,0.8181818181818182,7.476378353613349,0.014492753623188406
"(64, 64)",4096,0.1,3,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,8.811134159921862,0.014285714285714285
"(64, 64)",4096,0.1,4,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,8.614240786219447,0.0
"(64, 64)",4096,0.1,5,1.0,0.6470588235294118,0.6357142857142857,0.5714285714285714,0.7,7.848510456436683,0.014285714285714285
"(64, 64)",4096,0.1,6,1.0,0.7222222222222222,0.7207792207792207,0.7142857142857143,0.7272727272727273,8.181954014712517,0.0
"(64, 64)",4096,0.1,7,1.0,0.5555555555555556,0.5844155844155844,0.7142857142857143,0.45454545454545453,8.607094901519034,0.0
"(64, 64)",4096,0.1,8,1.0,0.5882352941176471,0.6071428571428572,0.7142857142857143,0.5,8.03279010228608,0.014285714285714285
"(64, 64)",4096,0.1,9,1.0,0.47058823529411764,0.4214285714285714,0.14285714285714285,0.7,8.793813348812172,0.0
"(64, 64)",4096,0.1,10,1.0,0.5882352941176471,0.5428571428571429,0.2857142857142857,0.8,7.754506662118798,0.0
"(64, 64)",4096,0.1,11,1.0,0.5,0.43506493506493504,0.14285714285714285,0.7272727272727273,8.493528410281993,0.014492753623188406
"(64, 64)",4096,0.1,12,1.0,0.6111111111111112,0.577922077922078,0.42857142857142855,0.7272727272727273,7.742317069787878,0.014492753623188406
"(64, 64)",4096,0.1,13,1.0,0.5882352941176471,0.5857142857142856,0.5714285714285714,0.6,8.172489028818891,0.014285714285714285
"(64, 64)",4096,0.1,14,1.0,0.5294117647058824,0.5357142857142857,0.5714285714285714,0.5,7.987374305922658,0.014285714285714285
"(64, 64)",4096,0.1,15,1.0,0.4117647058823529,0.39285714285714285,0.2857142857142857,0.5,8.691412721841742,0.014285714285714285
"(64, 64)",4096,0.1,16,1.0,0.7222222222222222,0.6948051948051948,0.5714285714285714,0.8181818181818182,7.882286267225205,0.014492753623188406
"(64, 64)",4096,0.1,17,1.0,0.5,0.487012987012987,0.42857142857142855,0.5454545454545454,7.890498109407329,0.014492753623188406
"(64, 64)",4096,0.1,18,1.0,0.47058823529411764,0.4642857142857143,0.42857142857142855,0.5,8.385170870254957,0.0
"(64, 64)",4096,0.1,19,1.0,0.47058823529411764,0.4857142857142857,0.5714285714285714,0.4,8.670005865465516,0.0
"(64, 64)",4096,0.1,20,1.0,0.4117647058823529,0.41428571428571426,0.42857142857142855,0.4,8.273156705183373,0.0
